Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2018,-,-,-,-,G,FI,P,172595,83969,297728,129243,683536
2018,-,-,-,-,U,FI,P,46447,293,12180,113073,171993
2018,-,-,-,-,G,AR,P,13127,3044,53133,49938,119242
2018,-,-,-,-,G,FA,P,21525,5668,23872,17306,68371
2018,-,-,-,-,U,AR,P,548,0,6791,732,8071
2018,-,-,-,-,G,RA,P,3266,2213,12779,23751,42009
2018,-,-,-,-,G,AR,C,4383,0,6580,541,11504
2018,-,-,-,-,G,JR,P,16115,14850,84718,81176,196859
2018,-,-,-,-,G,NA,P,39639,32812,72001,44331,188783
2018,-,-,-,-,G,FI,C,28,0,89,13,130
2018,-,-,-,-,G,TA,P,0,5995,0,2108,8103
2018,-,-,-,-,U,JR,P,10,0,115,27,152
2018,-,-,-,-,U,RA,P,273,0,381,121,775
2018,-,-,-,-,G,EO,P,9933,0,28909,16036,54878
2018,-,-,-,-,G,IN,C,20618,0,33550,30507,84675
2018,-,-,-,-,J,FI,P,2356,5,220,2822,5403
2018,-,-,-,-,U,FA,P,255,0,0,2517,2772
2018,-,-,-,-,U,FI,C,5,0,0,0,5
2019,-,-,-,-,G,FI,P,255845,76330,315013,184424,832890
2019,-,-,-,-,U,FI,P,44700,0,5386,68580,118666
2019,-,-,-,-,G,AR,P,22473,5271,83088,43457,154291
2019,-,-,-,-,G,FA,P,15812,2580,23627,21387,63406
2019,-,-,-,-,G,RA,P,2097,1603,8735,24163,36598
2019,-,-,-,-,G,JR,P,8977,13387,62678,71096,156138
2019,-,-,-,-,G,FI,C,1797,406,2013,649,4865
2019,-,-,-,-,G,RA,C,280,46,1259,957,2542
2019,-,-,-,-,G,AR,C,3974,0,4989,637,9600
2019,-,-,-,-,G,NA,P,43817,23932,51382,38590,157721
2019,-,-,-,-,U,AR,P,837,0,2299,1329,4465
2019,-,-,-,-,G,TA,P,5945,0,0,1685,7630
2019,-,-,-,-,G,EO,P,15266,0,50791,20480,86537
2019,-,-,-,-,G,IN,C,23688,0,53146,15571,92405
2019,-,-,-,-,U,RA,P,113,0,45,170,328
